city_name;latitude;longitude
Paris, France;48.85889;2.320041
London, England;51.507336;-0.12765
Rome, Italy;41.9028;12.4964
Barcelona, Spain;41.382894;2.177432
Amsterdam, Netherlands;52.3730796;4.8924534
Istanbul, Turkey;41.0091982;28.9662187
Tokyo, Japan;35.6812665;139.757653
New York City, USA;40.7127281;-74.0060152
Maui, Hawaii;20.8029568;-156.3106833
Cancun, Mexico;21.1617854;-86.8510468
Sydney, Australia;-33.8698439;151.2082848
San Francisco, USA;37.7790262;-122.419906
Miami, USA;25.7741728;-80.19362
Honolulu, Hawaii;21.304547;-157.855676
Rio de Janeiro, Brazil;-22.9110137;-43.2093727
Prague, Czech Republic;50.0596288;14.4464593
Hong Kong, China;22.2793278;114.1628131
Mexico City, Mexico;19.4326296;-99.1331785
Los Angeles, USA;34.0536909;-118.242766
Las Vegas, USA;36.1672559;-115.148516
Orlando, USA;28.5421109;-81.3790304
Ibiza, Spain;38.9743901;1.4197463
Vienna, Austria;48.2083537;16.3725042
Seville, Spain;37.3886303;-5.9953403
Madrid, Spain;40.4167047;-3.7035825
Cairns, Australia;-16.9206657;145.7721854
Queenstown, New Zealand;-45.0321923;168.661
Tulum, Mexico;20.214788;-87.430588